carid,clientid,Марка,Модель,Год_выпуска,vin
1,380,Geely,Ibiza,1984,CMJUDH3W1P8RRB0H6
2,519,Smart,Firebird,1972,WAGAUYP547TT2Y5GS
3,36,Bentley,Barracuda,2023,96PUCUL85WHT2SYJ9
4,644,Alfa Romeo,Cutlass,2012,BKF4XGH770SKJUP8M
5,295,GMC,Continental GT,1989,FL1424VR04C9LRBXV
6,990,Daihatsu,Rexton,1989,9X0VGR7FXRCSG8UW3
7,414,Pontiac,Cooper,1992,Y2UUUNK289Y2LTHGS
8,936,Ram,Ibiza,1990,TAM67LX290HAPTYCG
9,434,Lincoln,Huracán,2005,4BUVNWF8599DNWVD1
10,125,Dodge,H6,1982,YP39HHPPX61CYCCM4
11,887,Lotus,Q50,1970,L16UAB8A5HVJFAT9J
12,204,Dacia,Nexon,2003,V9RFMSDT0LWVCXW9F
13,323,Pontiac,Mazda3,2017,VHCGYFXG283CECRSN
14,403,Dodge,Levante,2004,C95X626E9MSYN2LL7
15,991,Pontiac,Huracán,1988,XFHVN860XSC9UZW2D
16,419,SsangYong,F-PACE,2017,F1T3509T1XD85K7J4
17,291,Genesis,720S,1973,R3GA87MY7T0AUX3F5
18,956,GMC,tC,1989,MSE8TVAD357NTKY9A
19,790,Porsche,TLX,2018,WKSLCPMP18EPLYWUU
20,749,Cadillac,ES,2001,873542A84CP2H2K1Z
21,999,MG,C4,2000,82VXXZGD9FJ0PHB71
22,852,Mitsubishi,Mustang,1989,FYRC7CJC4R65TBB80
23,891,Saab,Civic,1999,56PMB82X6698G8A4K
24,59,Skoda,Regera,1972,W1GDVK295UPS2N34U
25,285,Lexus,Ypsilon,2010,72M6ZJE502DURM3E8
26,56,Cadillac,TLX,1998,HEBSPU4M9G9ANB1VL
27,204,Dacia,Lancer,2011,J5YUJH8U4KEKR7MM8
28,812,MG,ForTwo,2020,46C08MXDXBLG011UH
29,825,Smart,CS35,2014,68NT2Y7PXUZJ8KD09
30,413,Jeep,Firebird,1995,ZCDV5XUVXS1JY1YEE
31,367,Isuzu,Model 3,1979,5RHHURDJ5SEHLAVXK
32,299,Chrysler,tC,2018,1LC813A38P31STZAJ
33,282,Mahindra,Mazda3,1971,BWNCUBD13VV4VCKFL
34,189,Pontiac,Lanos,2014,0LNTKPLY2BTX1THMC
35,301,Dacia,Rexton,2008,196FGMS28WV85W9EU
36,517,Bentley,Impreza,2019,GG2FPEY75KSC4P0C1
37,890,Infiniti,1500,1988,Y04GUR891K92RTUPP
38,437,Volkswagen,Evija,1976,S01V260E4D2PTZ36C
39,965,Dacia,Cooper,2021,M45ZEKMY1LFJ8XRU6
40,84,Kia,Firebird,2016,720WV8J44MAG96E0L
41,149,Hummer,Impreza,1997,SVJUJ11W8CX4RH5CA
42,97,Renault,Wrangler,1974,2E19JXA160AEJ522E
43,709,Fiat,720S,1987,NRGZCEG54A2E50PB3
44,878,Porsche,F-PACE,1992,HAGBPD5K3UUGY9Y8L
45,883,Mini,Levante,2002,EVU1250JXCM4XJ5KE
46,476,Alfa Romeo,Maloo,1977,K1RW5ZF032FC888ZN
47,890,Aston Martin,Wrangler,1981,H3E65LP80CZLMEKMY
48,397,Changan,Camaro,1986,L038DKFM4ZY5K3NS0
49,34,Peugeot,Wrangler,1975,JSWLB0VD0JSDUW8EW
50,52,Volkswagen,H6,1993,W063ZRMK795V8XE61
51,909,Chevrolet,Duster,1988,DCVJSC3L8AZER5SJA
52,121,Scion,Nexon,2021,V0M1BN5SX8EV34EZU
53,817,Suzuki,Maloo,1974,HCY3G0H8XWWU1TR01
54,582,Cadillac,Maloo,1980,BH4JVKWY6WUG0D90G
55,226,Nissan,Barracuda,1996,7UMSUT9X1DDV9989K
