carid,clientid,mark,model,year,vin
1,672,Suzuki,Model 3,1981,MVYBCU597Z1XNU6T5
2,994,HSV,CS35,1975,JK210DPP0CDBCHPS4
3,258,Suzuki,Octavia,1997,UCELDY40XL49XSMXH
4,486,Hummer,Lanos,2005,KY62P9YR01FT296ZU
5,577,Geely,Escalade,1999,CUVZ3ENH8JYC49EHU
6,502,Oldsmobile,Escalade,1987,A33C6R928ZCGWHDX4
7,317,Suzuki,Wrangler,2005,FNZTTDEY1AE8TUKU6
8,544,MG,Barracuda,1978,ZHHRFAXW6FN2YXW3V
9,858,Peugeot,XC60,1986,J7N1PK7T119LBBKSW
10,629,Genesis,Cutlass,2011,5B8NS0AH000D2KGPG
11,952,Mazda,Forte,1973,F2WZGYEE2N9ZT260N
12,331,Volvo,Cooper,1981,H1W6H30D72GHGN63N
13,86,Dacia,Golf,2003,GEHFHT9P7UWKXV92U
14,604,Tata,Lanos,1994,S65TWVCS8XERRH6YY
15,819,Great Wall,Ibiza,1994,VZXK8K0Y9JKLWPPMD
16,94,Volkswagen,Golf,1987,XJPL7SJD9L6VEFM99
17,502,Skoda,208,1988,LJZA8CBC68LAYME01
18,903,Hummer,H2,2000,41A5Y9EV1KR3381ZU
19,606,Ram,Huayra,1973,GM8RG29G2GKKSP3XP
20,669,Geely,208,2005,9GXPZN2L02YAJNC7K
21,919,Lexus,Evija,2016,BM0P821V3NNZNA0J0
22,818,Ram,300,2018,K2V163KR76ZH6YBLA
23,735,Volkswagen,Challenger,2013,JFNPZAEP1VWZ8XGAP
24,182,Citroën,Astra,2012,YPK67WS67BSL49XWW
25,724,Lancia,Vue,2001,M74BPDVT5M8A108A7
26,479,Infiniti,488 GTB,1976,P8U12B2N8Y7XXYTKT
27,904,SEAT,Navigator,2011,ANUMGHVU4HS7AGXZ0
28,268,Chrysler,3 Series,1971,1Y8B96GH1JTH27XUC
29,761,Lincoln,Corolla,2010,W0FZ3ESE6MG3LAJBJ
30,99,MG,Evija,2007,TD1ZKC1N909ZD5JNM
31,349,Lincoln,Barracuda,1972,XXW1K0XK6WKUBUFCR
32,261,BYD,Clio,1985,LM25NV3S3CJ4V7G3Z
33,98,Ram,Barracuda,1983,471CKHG99JPNBG5L1
